"Estimates of the components of interprovincial migration, annual 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0021-01 (formerly CANSIM 051-0018)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

,"Interprovincial migrants","Net-migration"
"Geography","Reference period"
,,"Persons"
"Newfoundland and Labrador","2009 / 2010","1,558"
,"2010 / 2011","30"
,"2011 / 2012","545"
,"2012 / 2013","495"
,"2013 / 2014","234"
,"2014 / 2015","161"
,"2015 / 2016","232"
,"2016 / 2017","-1,430"
,"2017 / 2018","-2,733"
,"2018 / 2019","-2,597"
,"2019 / 2020","-2,016"
,"2020 / 2021","527"
,"2021 / 2022","1,802"
,"2022 / 2023","1,060"
,"2023 / 2024","1,091"
,"2024 / 2025","65"
"Prince Edward Island","2009 / 2010","60"
,"2010 / 2011","-210"
,"2011 / 2012","-618"
,"2012 / 2013","-901"
,"2013 / 2014","-941"
,"2014 / 2015","-682"
,"2015 / 2016","30"
,"2016 / 2017","444"
,"2017 / 2018","177"
,"2018 / 2019","662"
,"2019 / 2020","1,150"
,"2020 / 2021","1,220"
,"2021 / 2022","1,708"
,"2022 / 2023","1,471"
,"2023 / 2024","985"
,"2024 / 2025","1,043"
"Nova Scotia","2009 / 2010","612"
,"2010 / 2011","-41"
,"2011 / 2012","-2,866"
,"2012 / 2013","-3,517"
,"2013 / 2014","-2,571"
,"2014 / 2015","-2,311"
,"2015 / 2016","754"
,"2016 / 2017","2,839"
,"2017 / 2018","3,048"
,"2018 / 2019","3,632"
,"2019 / 2020","5,567"
,"2020 / 2021","8,900"
,"2021 / 2022","11,701"
,"2022 / 2023","6,989"
,"2023 / 2024","8,841"
,"2024 / 2025","3,226"
"New Brunswick","2009 / 2010","571"
,"2010 / 2011","-158"
,"2011 / 2012","-1,806"
,"2012 / 2013","-3,290"
,"2013 / 2014","-3,517"
,"2014 / 2015","-2,790"
,"2015 / 2016","-1,113"
,"2016 / 2017","434"
,"2017 / 2018","481"
,"2018 / 2019","1,669"
,"2019 / 2020","1,826"
,"2020 / 2021","4,590"
,"2021 / 2022","7,897"
,"2022 / 2023","5,051"
,"2023 / 2024","5,419"
,"2024 / 2025","-186"
"Quebec","2009 / 2010","-3,258"
,"2010 / 2011","-4,763"
,"2011 / 2012","-6,915"
,"2012 / 2013","-10,431"
,"2013 / 2014","-14,312"
,"2014 / 2015","-16,142"
,"2015 / 2016","-11,118"
,"2016 / 2017","-8,127"
,"2017 / 2018","-5,693"
,"2018 / 2019","-4,128"
,"2019 / 2020","-4,436"
,"2020 / 2021","-2,944"
,"2021 / 2022","-6,529"
,"2022 / 2023","-10,333"
,"2023 / 2024","-6,750"
,"2024 / 2025","-5,095"
"Ontario","2009 / 2010","-4,662"
,"2010 / 2011","-4,007"
,"2011 / 2012","-10,611"
